"id","var_pl94_use","count"
"060014415031233","tot_a0p",109
"060014415031233","tot_a0p_r1_all",105
"060014415031233","tot_a0p_r1_w",9
"060014415031233","tot_a0p_r1_b",0
"060014415031233","tot_a0p_r1_na",0
"060014415031233","tot_a0p_r1_a",92
"060014415031233","tot_a0p_r1_pi",1
"060014415031233","tot_a0p_r1_o",3
"060014415031233","tot_a0p_r2p_all",4
"060014415031233","tot_a0p_hl_yn",109
"060014415031233","tot_a0p_hl_y",7
"060014415031233","tot_a0p_hl_n",102
"060014415031233","tot_a0p_r1p_all_hl_n",100
"060014415031233","tot_a0p_r1_w_hl_n",7
"060014415031233","tot_a0p_r1_b_hl_n",0
"060014415031233","tot_a0p_r1_na_hl_n",0
"060014415031233","tot_a0p_r1_a_hl_n",92
"060014415031233","tot_a0p_r1_pi_hl_n",1
"060014415031233","tot_a0p_r1_o_hl_n",0
"060014415031233","tot_a0p_r2p_all_hl_n",2
"060014415031233","tot_a18p",81
"060014415031233","tot_a18p_r1_all",79
"060014415031233","tot_a18p_r1_w",6
"060014415031233","tot_a18p_r1_b",0
"060014415031233","tot_a18p_r1_na",0
"060014415031233","tot_a18p_r1_a",69
"060014415031233","tot_a18p_r1_pi",1
"060014415031233","tot_a18p_r1_o",3
"060014415031233","tot_a18p_r2p_all",2
"060014415031233","tot_a18p_hl_yn",81
"060014415031233","tot_a18p_hl_y",5
"060014415031233","tot_a18p_hl_n",76
"060014415031233","tot_a18p_r1p_all_hl_n",74
"060014415031233","tot_a18p_r1_w_hl_n",4
"060014415031233","tot_a18p_r1_b_hl_n",0
"060014415031233","tot_a18p_r1_na_hl_n",0
"060014415031233","tot_a18p_r1_a_hl_n",69
"060014415031233","tot_a18p_r1_pi_hl_n",1
"060014415031233","tot_a18p_r1_o_hl_n",0
"060014415031233","tot_a18p_r2p_all_hl_n",2
"060014443021000","tot_a0p",130
"060014443021000","tot_a0p_r1_all",119
"060014443021000","tot_a0p_r1_w",58
"060014443021000","tot_a0p_r1_b",6
"060014443021000","tot_a0p_r1_na",4
"060014443021000","tot_a0p_r1_a",9
"060014443021000","tot_a0p_r1_pi",5
"060014443021000","tot_a0p_r1_o",37
"060014443021000","tot_a0p_r2p_all",11
"060014443021000","tot_a0p_hl_yn",130
"060014443021000","tot_a0p_hl_y",84
