"GEOCODE","var_pl94_use","count"
"440070001014012","tot_a0p",13
"440070001014012","tot_a0p_r1_all",13
"440070001014012","tot_a0p_r1_w",12
"440070001014012","tot_a0p_r1_b",0
"440070001014012","tot_a0p_r1_na",0
"440070001014012","tot_a0p_r1_a",0
"440070001014012","tot_a0p_r1_pi",0
"440070001014012","tot_a0p_r1_o",1
"440070001014012","tot_a0p_r2p_all",0
"440070001014012","tot_a0p_hl_yn",13
"440070001014012","tot_a0p_hl_y",10
"440070001014012","tot_a0p_hl_n",3
"440070001014012","tot_a0p_r1p_all_hl_n",3
"440070001014012","tot_a0p_r1_w_hl_n",3
"440070001014012","tot_a0p_r1_b_hl_n",0
"440070001014012","tot_a0p_r1_na_hl_n",0
"440070001014012","tot_a0p_r1_a_hl_n",0
"440070001014012","tot_a0p_r1_pi_hl_n",0
"440070001014012","tot_a0p_r1_o_hl_n",0
"440070001014012","tot_a0p_r2p_all_hl_n",0
"440070001014012","tot_a18p",10
"440070001014012","tot_a18p_r1_all",10
"440070001014012","tot_a18p_r1_w",9
"440070001014012","tot_a18p_r1_b",0
"440070001014012","tot_a18p_r1_na",0
"440070001014012","tot_a18p_r1_a",0
"440070001014012","tot_a18p_r1_pi",0
"440070001014012","tot_a18p_r1_o",1
"440070001014012","tot_a18p_r2p_all",0
"440070001014012","tot_a18p_hl_yn",10
"440070001014012","tot_a18p_hl_y",10
"440070001014012","tot_a18p_hl_n",0
"440070001014012","tot_a18p_r1p_all_hl_n",0
"440070001014012","tot_a18p_r1_w_hl_n",0
"440070001014012","tot_a18p_r1_b_hl_n",0
"440070001014012","tot_a18p_r1_na_hl_n",0
"440070001014012","tot_a18p_r1_a_hl_n",0
"440070001014012","tot_a18p_r1_pi_hl_n",0
"440070001014012","tot_a18p_r1_o_hl_n",0
"440070001014012","tot_a18p_r2p_all_hl_n",0
"440070001011014","tot_a0p",214
"440070001011014","tot_a0p_r1_all",203
"440070001011014","tot_a0p_r1_w",20
"440070001011014","tot_a0p_r1_b",65
"440070001011014","tot_a0p_r1_na",0
"440070001011014","tot_a0p_r1_a",0
"440070001011014","tot_a0p_r1_pi",0
"440070001011014","tot_a0p_r1_o",118
"440070001011014","tot_a0p_r2p_all",11
"440070001011014","tot_a0p_hl_yn",214
"440070001011014","tot_a0p_hl_y",138
"440070001011014","tot_a0p_hl_n",76
"440070001011014","tot_a0p_r1p_all_hl_n",65
"440070001011014","tot_a0p_r1_w_hl_n",0
"440070001011014","tot_a0p_r1_b_hl_n",65
"440070001011014","tot_a0p_r1_na_hl_n",0
"440070001011014","tot_a0p_r1_a_hl_n",0
"440070001011014","tot_a0p_r1_pi_hl_n",0
"440070001011014","tot_a0p_r1_o_hl_n",0
"440070001011014","tot_a0p_r2p_all_hl_n",11
"440070001011014","tot_a18p",146
"440070001011014","tot_a18p_r1_all",146
"440070001011014","tot_a18p_r1_w",8
"440070001011014","tot_a18p_r1_b",65
"440070001011014","tot_a18p_r1_na",0
"440070001011014","tot_a18p_r1_a",0
"440070001011014","tot_a18p_r1_pi",0
"440070001011014","tot_a18p_r1_o",73
"440070001011014","tot_a18p_r2p_all",0
"440070001011014","tot_a18p_hl_yn",146
"440070001011014","tot_a18p_hl_y",81
"440070001011014","tot_a18p_hl_n",65
"440070001011014","tot_a18p_r1p_all_hl_n",65
"440070001011014","tot_a18p_r1_w_hl_n",0
"440070001011014","tot_a18p_r1_b_hl_n",65
"440070001011014","tot_a18p_r1_na_hl_n",0
"440070001011014","tot_a18p_r1_a_hl_n",0
"440070001011014","tot_a18p_r1_pi_hl_n",0
"440070001011014","tot_a18p_r1_o_hl_n",0
"440070001011014","tot_a18p_r2p_all_hl_n",0
"440070001024014","tot_a0p",0
"440070001024014","tot_a0p_r1_all",0
"440070001024014","tot_a0p_r1_w",0
"440070001024014","tot_a0p_r1_b",0
"440070001024014","tot_a0p_r1_na",0
"440070001024014","tot_a0p_r1_a",0
"440070001024014","tot_a0p_r1_pi",0
"440070001024014","tot_a0p_r1_o",0
"440070001024014","tot_a0p_r2p_all",0
"440070001024014","tot_a0p_hl_yn",0
"440070001024014","tot_a0p_hl_y",0
"440070001024014","tot_a0p_hl_n",0
"440070001024014","tot_a0p_r1p_all_hl_n",0
"440070001024014","tot_a0p_r1_w_hl_n",0
"440070001024014","tot_a0p_r1_b_hl_n",0
"440070001024014","tot_a0p_r1_na_hl_n",0
"440070001024014","tot_a0p_r1_a_hl_n",0
"440070001024014","tot_a0p_r1_pi_hl_n",0
"440070001024014","tot_a0p_r1_o_hl_n",0
"440070001024014","tot_a0p_r2p_all_hl_n",0
"440070001024014","tot_a18p",0
"440070001024014","tot_a18p_r1_all",0
"440070001024014","tot_a18p_r1_w",0
"440070001024014","tot_a18p_r1_b",0
"440070001024014","tot_a18p_r1_na",0
"440070001024014","tot_a18p_r1_a",0
"440070001024014","tot_a18p_r1_pi",0
"440070001024014","tot_a18p_r1_o",0
"440070001024014","tot_a18p_r2p_all",0
"440070001024014","tot_a18p_hl_yn",0
"440070001024014","tot_a18p_hl_y",0
"440070001024014","tot_a18p_hl_n",0
"440070001024014","tot_a18p_r1p_all_hl_n",0
"440070001024014","tot_a18p_r1_w_hl_n",0
"440070001024014","tot_a18p_r1_b_hl_n",0
"440070001024014","tot_a18p_r1_na_hl_n",0
"440070001024014","tot_a18p_r1_a_hl_n",0
"440070001024014","tot_a18p_r1_pi_hl_n",0
"440070001024014","tot_a18p_r1_o_hl_n",0
"440070001024014","tot_a18p_r2p_all_hl_n",0
"440070001013017","tot_a0p",38
"440070001013017","tot_a0p_r1_all",38
"440070001013017","tot_a0p_r1_w",0
"440070001013017","tot_a0p_r1_b",37
"440070001013017","tot_a0p_r1_na",0
"440070001013017","tot_a0p_r1_a",1
"440070001013017","tot_a0p_r1_pi",0
"440070001013017","tot_a0p_r1_o",0
"440070001013017","tot_a0p_r2p_all",0
"440070001013017","tot_a0p_hl_yn",38
"440070001013017","tot_a0p_hl_y",0
"440070001013017","tot_a0p_hl_n",38
"440070001013017","tot_a0p_r1p_all_hl_n",38
"440070001013017","tot_a0p_r1_w_hl_n",0
"440070001013017","tot_a0p_r1_b_hl_n",37
"440070001013017","tot_a0p_r1_na_hl_n",0
"440070001013017","tot_a0p_r1_a_hl_n",1
"440070001013017","tot_a0p_r1_pi_hl_n",0
"440070001013017","tot_a0p_r1_o_hl_n",0
"440070001013017","tot_a0p_r2p_all_hl_n",0
"440070001013017","tot_a18p",1
"440070001013017","tot_a18p_r1_all",1
